feature,family
volume,raw_aux
ma_5,technical
ma_10,technical
ma_20,technical
ma_60,technical
macd_dif,technical
macd_dea,technical
macd_hist,technical
kdj_k,technical
kdj_d,technical
kdj_j,technical
rsi_6,technical
rsi_12,technical
rsi_24,technical
boll_upper,technical
boll_mid,technical
atr_14,technical
adx_14,technical
obv,technical
cci_14,technical
roc_10,technical
willr_14,technical
stoch_k,technical
stoch_d,technical
reversal_3d,technical
cs_rank_close,cross_sectional
cs_rank_volume,cross_sectional
cs_rank_rsi_6,cross_sectional
cs_rank_roc_10,cross_sectional
cs_rank_ma_5,cross_sectional
cs_zscore_close,cross_sectional
cs_zscore_volume,cross_sectional
cs_zscore_rsi_6,cross_sectional
ind_rank_rsi_6,industry
sector_momentum_10d,industry
