feature_name,feature_family,source,missing_rate,non_zero_rate
announcement_count_3d,announcement_events,cninfo,0.0,0.02998345082188947
announcement_count_5d,announcement_events,cninfo,0.0,0.03984532883535159
announcement_count_10d,announcement_events,cninfo,0.0,0.057870407205257546
has_announcement_3d,announcement_events,cninfo,0.0,0.02998345082188947
has_major_event_10d,announcement_events,cninfo,0.0,0.0020408000891109592
has_risk_announcement_5d,announcement_events,cninfo,0.0,0.0033217701255509762
has_financial_report_30d,announcement_events,cninfo,0.0,0.02768804799261652
has_reduction_notice_30d,announcement_events,cninfo,0.0,0.00914978597457155
has_dragon_tiger_5d,dragon_tiger,datacenter-web,0.0,0.0022755119901977944
dragon_tiger_count_10d,dragon_tiger,datacenter-web,0.0,0.004292443072418567
dragon_tiger_net_buy_5d,dragon_tiger,datacenter-web,0.0,0.0022755119901977944
dragon_tiger_net_buy_rank_5d,dragon_tiger,datacenter-web,0.0,0.0022755119901977944
institution_net_buy_5d,dragon_tiger,datacenter-web,0.0,0.0
institution_net_buy_rank_5d,dragon_tiger,datacenter-web,0.0,0.0
block_trade_count_20d,block_trade,datacenter-web,0.0,0.030524481644733703
block_trade_amount_20d,block_trade,datacenter-web,0.0,0.030524481644733703
block_trade_amount_rank_20d,block_trade,datacenter-web,0.0,0.030524481644733703
block_trade_discount_mean_20d,block_trade,datacenter-web,0.0,0.016628741466830035
has_large_discount_block_trade_20d,block_trade,datacenter-web,0.0,0.005573413108858584
