symbol,date,trade_date,base_score,base_rank,base_pct,recent_score,recent_rank,recent_pct,risk_flags,event_flags,short_boost,gate_tier,gate_reason,final_rank,fusion_score_col,fusion_rank
688506,2026-07-06,2026-07-06,0.019372282603504754,8,0.9765886287625418,0.027433305243142303,3,0.9933110367892977,,,0.01672240802675584,A_MAIN,"base strong, recent confirms",5,0.03057889822595705,1
002028,2026-07-06,2026-07-06,0.011404421500706793,20,0.9364548494983278,0.029263465240012883,2,0.9966555183946488,,,0.06020066889632103,A_MAIN,"base strong, recent confirms",12,0.028629032258064516,2
002460,2026-07-06,2026-07-06,0.02122364421811164,6,0.9832775919732442,0.008682832590773874,21,0.9331103678929766,,,-0.050167224080267525,A_MAIN,"base strong, recent confirms",4,0.02749719416386083,3
000975,2026-07-06,2026-07-06,0.032019045799209334,3,0.9933110367892977,0.003912394078947057,37,0.8795986622073578,,,-0.11371237458193983,A_MAIN,"base strong, recent confirms",2,0.026182294223531334,4
002916,2026-07-06,2026-07-06,0.009180301931022638,34,0.8896321070234113,0.021339914662658086,8,0.9765886287625418,,,0.08695652173913049,A_MAIN,"base strong, recent confirms",21,0.0253441802252816,5
000938,2026-07-06,2026-07-06,0.008736200842917883,39,0.8729096989966555,0.023587601018533147,6,0.9832775919732442,,,0.11036789297658867,A_MAIN,"base strong, recent confirms",26,0.025252525252525256,6
300661,2026-07-06,2026-07-06,0.006235094291781046,53,0.8260869565217391,0.03298304248171208,1,1.0,,,0.17391304347826086,A_MAIN,"base strong, recent confirms",38,0.025243000145074714,7
688082,2026-07-06,2026-07-06,0.039370421194389764,2,0.9966555183946488,0.0014119255050726429,58,0.8093645484949833,,,-0.18729096989966554,A_MAIN,"base strong, recent confirms",1,0.024603608529250955,8
300450,2026-07-06,2026-07-06,0.015294418993342274,12,0.9632107023411371,0.004461516624414643,34,0.8896321070234113,,,-0.07357859531772581,A_MAIN,"base strong, recent confirms",6,0.024527186761229315,9
601066,2026-07-06,2026-07-06,0.012924168742232687,16,0.9498327759197325,0.006017675648541516,29,0.9063545150501672,,,-0.0434782608695653,A_MAIN,"base strong, recent confirms",9,0.02439384979302188,10
000100,2026-07-06,2026-07-06,0.009208725754470385,33,0.8929765886287625,0.01413886758975348,14,0.9565217391304348,,,0.06354515050167231,A_MAIN,"base strong, recent confirms",20,0.024266201685556526,11
002422,2026-07-06,2026-07-06,0.00581051325714616,59,0.8060200668896321,0.024083077852764243,5,0.9866220735785953,,,0.1806020066889632,A_MAIN,"base strong, recent confirms",42,0.0237879767291532,12
