feature_name,feature_family,source,latest_available_date,overall_missing_rate,recent_symbol_coverage,recent_20d_avg_symbol_coverage,available_trading_days,date_coverage_rate,is_pit_safe,known_at,history_start,is_allowed_for_base_model,is_allowed_for_recent_model,is_allowed_for_prediction_only,rejection_reason
volume,raw_aux,feature_panel,2026-07-06,0.0,299,296.2,847,1.0,True,post_close_T,,True,True,False,allowed
ma_5,technical,feature_panel,2026-07-06,0.005959925461198899,299,296.2,842,0.9940968122786304,True,post_close_T,,True,True,False,allowed
ma_10,technical,feature_panel,2026-07-06,0.011919850922397798,299,296.2,837,0.9881936245572609,True,post_close_T,,True,True,False,allowed
ma_20,technical,feature_panel,2026-07-06,0.023839701844795596,299,296.2,827,0.9763872491145218,True,post_close_T,,True,True,False,allowed
ma_60,technical,feature_panel,2026-07-06,0.07151910553438678,299,296.2,787,0.9291617473435655,True,post_close_T,,True,True,False,allowed
macd_dif,technical,feature_panel,2026-07-06,0.04171947822839229,299,296.2,812,0.9586776859504132,True,post_close_T,,True,True,False,allowed
macd_dea,technical,feature_panel,2026-07-06,0.04171947822839229,299,296.2,812,0.9586776859504132,True,post_close_T,,True,True,False,allowed
macd_hist,technical,feature_panel,2026-07-06,0.04171947822839229,299,296.2,812,0.9586776859504132,True,post_close_T,,True,True,False,allowed
kdj_k,technical,feature_panel,2026-07-06,0.010727865830158018,299,296.2,838,0.9893742621015348,True,post_close_T,,True,True,False,allowed
kdj_d,technical,feature_panel,2026-07-06,0.010727865830158018,299,296.2,838,0.9893742621015348,True,post_close_T,,True,True,False,allowed
kdj_j,technical,feature_panel,2026-07-06,0.010727865830158018,299,296.2,838,0.9893742621015348,True,post_close_T,,True,True,False,allowed
rsi_6,technical,feature_panel,2026-07-06,0.007151910553438679,299,296.2,841,0.9929161747343566,True,post_close_T,,True,True,False,allowed
rsi_12,technical,feature_panel,2026-07-06,0.014303821106877357,299,296.2,835,0.9858323494687131,True,post_close_T,,True,True,False,allowed
rsi_24,technical,feature_panel,2026-07-06,0.028607642213754714,299,296.2,823,0.9716646989374262,True,post_close_T,,True,True,False,allowed
boll_upper,technical,feature_panel,2026-07-06,0.023839701844795596,299,296.2,827,0.9763872491145218,True,post_close_T,,True,True,False,allowed
boll_mid,technical,feature_panel,2026-07-06,0.023839701844795596,299,296.2,827,0.9763872491145218,True,post_close_T,,True,True,False,allowed
atr_14,technical,feature_panel,2026-07-06,0.016687791291356915,299,296.2,833,0.9834710743801653,True,post_close_T,,True,True,False,allowed
adx_14,technical,feature_panel,2026-07-06,0.03337558258271383,299,296.2,819,0.9669421487603306,True,post_close_T,,True,True,False,allowed
obv,technical,feature_panel,2026-07-06,0.029799627305994492,299,296.2,822,0.9704840613931524,True,post_close_T,,True,True,False,allowed
cci_14,technical,feature_panel,2026-07-06,0.016687791291356915,299,296.2,833,0.9834710743801653,True,post_close_T,,True,True,False,allowed
roc_10,technical,feature_panel,2026-07-06,0.011919850922397798,299,296.2,837,0.9881936245572609,True,post_close_T,,True,True,False,allowed
willr_14,technical,feature_panel,2026-07-06,0.016687791291356915,299,296.2,833,0.9834710743801653,True,post_close_T,,True,True,False,allowed
stoch_k,technical,feature_panel,2026-07-06,0.017879776383596696,299,296.2,832,0.9822904368358913,True,post_close_T,,True,True,False,allowed
stoch_d,technical,feature_panel,2026-07-06,0.020263746568076255,299,296.2,830,0.9799291617473436,True,post_close_T,,True,True,False,allowed
reversal_3d,technical,feature_panel,2026-07-06,0.0035759552767193393,299,296.2,844,0.9964580873671782,True,post_close_T,,True,True,False,allowed
fund_revenue,fundamental,silver/fundamentals,2026-07-06,0.9801375550796445,27,26.5,584,0.6894923258559622,True,announce_date,,False,False,True,base-missing>30%; base-recent-coverage-low; recent-20d-coverage-low
fund_net_profit,fundamental,silver/fundamentals,2026-07-06,0.9801375550796445,27,26.5,584,0.6894923258559622,True,announce_date,,False,False,True,base-missing>30%; base-recent-coverage-low; recent-20d-coverage-low
fund_eps,fundamental,silver/fundamentals,2026-07-06,0.9805070704582388,26,25.5,584,0.6894923258559622,True,announce_date,,False,False,True,base-missing>30%; base-recent-coverage-low; recent-20d-coverage-low
fund_roe,fundamental,silver/fundamentals,2026-07-06,0.9805070704582388,26,25.5,584,0.6894923258559622,True,announce_date,,False,False,True,base-missing>30%; base-recent-coverage-low; recent-20d-coverage-low
fund_lag_days,fundamental,silver/fundamentals,2026-07-06,0.9801375550796445,27,26.5,584,0.6894923258559622,True,announce_date,,False,False,True,base-missing>30%; base-recent-coverage-low; recent-20d-coverage-low
cs_rank_close,cross_sectional,feature_panel,2026-07-06,0.0,299,296.2,847,1.0,True,post_close_T,,True,True,False,allowed
cs_rank_volume,cross_sectional,feature_panel,2026-07-06,0.0,299,296.2,847,1.0,True,post_close_T,,True,True,False,allowed
cs_rank_rsi_6,cross_sectional,feature_panel,2026-07-06,0.007151910553438679,299,296.2,841,0.9929161747343566,True,post_close_T,,True,True,False,allowed
cs_rank_roc_10,cross_sectional,feature_panel,2026-07-06,0.011919850922397798,299,296.2,837,0.9881936245572609,True,post_close_T,,True,True,False,allowed
cs_rank_ma_5,cross_sectional,feature_panel,2026-07-06,0.005959925461198899,299,296.2,842,0.9940968122786304,True,post_close_T,,True,True,False,allowed
cs_zscore_close,cross_sectional,feature_panel,2026-07-06,0.0,299,296.2,847,1.0,True,post_close_T,,True,True,False,allowed
cs_zscore_volume,cross_sectional,feature_panel,2026-07-06,0.0,299,296.2,847,1.0,True,post_close_T,,True,True,False,allowed
cs_zscore_rsi_6,cross_sectional,feature_panel,2026-07-06,0.007151910553438679,299,296.2,841,0.9929161747343566,True,post_close_T,,True,True,False,allowed
pe_ttm,raw_aux,feature_panel,2026-06-29,0.011621854649337852,0,149.95,837,0.9881936245572609,True,post_close_T,,False,False,True,base-recent-coverage-low; recent-20d-coverage-low; latest-date-stale
pb,raw_aux,feature_panel,2026-06-29,0.011621854649337852,0,149.95,837,0.9881936245572609,True,post_close_T,,False,False,True,base-recent-coverage-low; recent-20d-coverage-low; latest-date-stale
turnover_pct,raw_aux,feature_panel,2026-06-29,0.011621854649337852,0,149.95,837,0.9881936245572609,True,post_close_T,,False,False,True,base-recent-coverage-low; recent-20d-coverage-low; latest-date-stale
cs_log_float_mcap,valuation,silver/valuation,2026-06-29,0.011621854649337852,0,149.95,837,0.9881936245572609,True,post_close_T,,False,False,True,base-recent-coverage-low; recent-20d-coverage-low; latest-date-stale
cs_pe_ttm_rank,valuation,silver/valuation,2026-06-29,0.07818230220000716,0,140.45,837,0.9881936245572609,True,post_close_T,,False,False,True,base-recent-coverage-low; recent-20d-coverage-low; latest-date-stale
cs_pb_rank,valuation,silver/valuation,2026-06-29,0.011621854649337852,0,149.95,837,0.9881936245572609,True,post_close_T,,False,False,True,base-recent-coverage-low; recent-20d-coverage-low; latest-date-stale
cs_turnover_rank,valuation,silver/valuation,2026-06-29,0.011621854649337852,0,149.95,837,0.9881936245572609,True,post_close_T,,False,False,True,base-recent-coverage-low; recent-20d-coverage-low; latest-date-stale
cs_log_mcap_rank,valuation,silver/valuation,2026-06-29,0.011621854649337852,0,149.95,837,0.9881936245572609,True,post_close_T,,False,False,True,base-recent-coverage-low; recent-20d-coverage-low; latest-date-stale
pe_momentum_5d,valuation,silver/valuation,2026-06-29,0.01871416594816454,0,135.7,832,0.9822904368358913,True,post_close_T,,False,False,True,base-recent-coverage-low; recent-20d-coverage-low; latest-date-stale
ind_rank_rsi_6,industry,silver/industry_map,2026-07-06,0.007151910553438679,299,296.2,841,0.9929161747343566,True,scd_pit_join,,True,True,False,allowed
ind_rank_turnover,industry,silver/industry_map,2026-06-29,0.011621854649337852,0,149.95,837,0.9881936245572609,True,scd_pit_join,,False,False,True,base-recent-coverage-low; recent-20d-coverage-low; latest-date-stale
sector_momentum_10d,industry,silver/industry_map,2026-07-06,0.011868198235067406,299,296.2,837,0.9881936245572609,True,scd_pit_join,,True,True,False,allowed
cs_main_flow_rank_1d,flow,silver/fund_flow,2026-07-06,0.8603629197277506,299,288.65,130,0.15348288075560804,True,post_close_T,,False,True,False,short-history-family
cs_main_flow_rank_5d,flow,silver/fund_flow,2026-07-06,0.8603629197277506,299,288.65,130,0.15348288075560804,True,post_close_T,,False,True,False,short-history-family
cs_small_flow_rank_1d,flow,silver/fund_flow,2026-07-06,0.8603629197277506,299,288.65,130,0.15348288075560804,True,post_close_T,,False,True,False,short-history-family
cs_super_flow_rank_1d,flow,silver/fund_flow,2026-07-06,0.8603629197277506,299,288.65,130,0.15348288075560804,True,post_close_T,,False,True,False,short-history-family
cs_flow_reversal_5d,flow,silver/fund_flow,2026-07-06,0.8603629197277506,299,288.65,130,0.15348288075560804,True,post_close_T,,False,True,False,short-history-family
