feature,family
volume,raw_aux
ma_5,technical
ma_10,technical
ma_20,technical
ma_60,technical
macd_dif,technical
macd_dea,technical
macd_hist,technical
kdj_k,technical
kdj_d,technical
kdj_j,technical
rsi_6,technical
rsi_12,technical
rsi_24,technical
boll_upper,technical
boll_mid,technical
atr_14,technical
adx_14,technical
obv,technical
cci_14,technical
roc_10,technical
willr_14,technical
stoch_k,technical
stoch_d,technical
reversal_3d,technical
cs_rank_close,cross_sectional
cs_rank_volume,cross_sectional
cs_rank_rsi_6,cross_sectional
cs_rank_roc_10,cross_sectional
cs_rank_ma_5,cross_sectional
cs_zscore_close,cross_sectional
cs_zscore_volume,cross_sectional
cs_zscore_rsi_6,cross_sectional
ind_rank_rsi_6,industry
sector_momentum_10d,industry
announcement_count_3d,announcement_events
announcement_count_5d,announcement_events
announcement_count_10d,announcement_events
has_announcement_3d,announcement_events
has_major_event_10d,announcement_events
has_risk_announcement_5d,announcement_events
has_financial_report_30d,announcement_events
has_reduction_notice_30d,announcement_events
has_dragon_tiger_5d,dragon_tiger
dragon_tiger_count_10d,dragon_tiger
dragon_tiger_net_buy_5d,dragon_tiger
dragon_tiger_net_buy_rank_5d,dragon_tiger
institution_net_buy_5d,dragon_tiger
institution_net_buy_rank_5d,dragon_tiger
block_trade_count_20d,block_trade
block_trade_amount_20d,block_trade
block_trade_amount_rank_20d,block_trade
block_trade_discount_mean_20d,block_trade
has_large_discount_block_trade_20d,block_trade
