as_of_date,rank,symbol,stock_name,industry_name,model_score,entry_close,benchmark_close,exit_date_d5,exit_close_d5,return_d5,benchmark_return_d5,excess_return_d5,predicted_rank,realized_rank_by_excess_d5,rank_diff_d5,hit_vs_benchmark_d5
2026-06-18,1,600183,生益科技,电子元件,0.060933,183.870000,5371.600324,2026-06-26,178.500000,-0.029205,-0.093711,0.064506,1,120.000000,119.000000,True
2026-06-18,2,600118,中国卫星,航空航天,0.020177,76.520000,5371.600324,2026-06-26,77.770000,0.016336,-0.093711,0.110047,2,57.000000,55.000000,True
2026-06-18,3,688223,晶科能源,发电设备,0.018156,5.090000,5371.600324,2026-06-26,4.700000,-0.076621,-0.093711,0.017091,3,213.000000,210.000000,True
2026-06-18,4,300408,三环集团,电子元件,0.016429,157.890000,5371.600324,2026-06-26,160.050000,0.013680,-0.093711,0.107392,4,61.000000,57.000000,True
2026-06-18,5,600426,600426,化学原料,0.014928,25.510000,5371.600324,2026-06-26,25.090000,-0.016464,-0.093711,0.077247,5,98.000000,93.000000,True
2026-06-18,6,600160,巨化股份,化学制品,0.014772,44.120000,5371.600324,2026-06-26,50.950000,0.154805,-0.093711,0.248517,6,7.000000,1.000000,True
2026-06-18,7,600482,600482,交通运输设备,0.014180,33.110000,5371.600324,2026-06-26,30.110000,-0.090607,-0.093711,0.003104,7,234.000000,227.000000,True
2026-06-18,8,002532,天山铝业,工业金属,0.014139,12.050000,5371.600324,2026-06-26,11.080000,-0.080498,-0.093711,0.013214,8,220.000000,212.000000,True
2026-06-18,9,688303,大全能源,发电设备,0.014038,19.200000,5371.600324,2026-06-26,17.460000,-0.090625,-0.093711,0.003086,9,235.000000,226.000000,True
2026-06-18,10,688183,生益电子,电子元件,0.013681,138.500000,5371.600324,2026-06-26,131.900000,-0.047653,-0.093711,0.046058,10,171.000000,161.000000,True
2026-06-18,11,000807,云铝股份,工业金属,0.013380,24.170000,5371.600324,2026-06-26,22.480000,-0.069921,-0.093711,0.023790,11,201.000000,190.000000,True
2026-06-18,12,601898,中煤能源,煤炭,0.012704,13.500000,5371.600324,2026-06-26,12.510000,-0.073333,-0.093711,0.020378,12,206.000000,194.000000,True
2026-06-18,13,000975,山金国际,贵金属,0.012452,21.070000,5371.600324,2026-06-26,17.310000,-0.178453,-0.093711,-0.084741,13,262.000000,249.000000,False
2026-06-18,14,300476,胜宏科技,电子元件,0.012194,369.000000,5371.600324,2026-06-26,319.550000,-0.134011,-0.093711,-0.040299,14,254.000000,240.000000,False
2026-06-18,15,600066,宇通客车,交通运输设备,0.011948,26.040000,5371.600324,2026-06-26,26.800000,0.029186,-0.093711,0.122897,15,49.000000,34.000000,True
2026-06-18,16,688521,芯原股份,集成电路,0.011691,274.000000,5371.600324,2026-06-26,,,-0.093711,,16,,,False
2026-06-18,17,600875,600875,发电设备,0.011600,32.560000,5371.600324,2026-06-26,,,-0.093711,,17,,,False
2026-06-18,18,002916,深南电路,电子元件,0.011137,453.800000,5371.600324,2026-06-26,433.500000,-0.044733,-0.093711,0.048978,18,164.000000,146.000000,True
2026-06-18,19,600188,兖矿能源,煤炭,0.011041,19.380000,5371.600324,2026-06-26,17.980000,-0.072239,-0.093711,0.021472,19,205.000000,186.000000,True
2026-06-18,20,600845,600845,软件开发,0.010766,17.900000,5371.600324,2026-06-26,16.360000,-0.086034,-0.093711,0.007678,20,229.000000,209.000000,True
2026-06-18,21,600893,600893,航空航天,0.010352,39.020000,5371.600324,2026-06-26,37.310000,-0.043824,-0.093711,0.049888,21,161.000000,140.000000,True
2026-06-18,22,600026,中远海能,运输业,0.010274,19.300000,5371.600324,2026-06-26,19.960000,0.034197,-0.093711,0.127908,22,43.000000,21.000000,True
2026-06-18,23,688472,阿特斯,光伏设备,0.009994,11.200000,5371.600324,2026-06-26,10.670000,-0.047321,-0.093711,0.046390,23,170.000000,147.000000,True
2026-06-18,24,603799,华友钴业,工业金属,0.009311,52.100000,5371.600324,2026-06-26,46.790000,-0.101919,-0.093711,-0.008208,24,246.000000,222.000000,False
2026-06-18,25,001979,招商蛇口,商业地产开发和管理,0.009110,7.250000,5371.600324,2026-06-26,6.540000,-0.097931,-0.093711,-0.004220,25,241.000000,216.000000,False
2026-06-18,26,600346,600346,化学原料,0.008849,17.100000,5371.600324,2026-06-26,18.440000,0.078363,-0.093711,0.172074,26,24.000000,-2.000000,True
