symbol,error_type,error_message,retry_count,reported_at
000001,ReadTimeout,"HTTPSConnectionPool(host='push2his.eastmoney.com', port=443): Read timed out. (read timeout=4)",0,2026-07-06T15:22:49.073620+00:00
000002,SSLError,"HTTPSConnectionPool(host='push2his.eastmoney.com', port=443): Max retries exceeded with url: /api/qt/stock/fflow/daykline/get?secid=0.000002&fields1=f1%2Cf2%2Cf3%2Cf7&fields2=f51%2Cf52%2Cf53%2Cf54%2Cf55%2Cf56&lmt=120 (Caused by SSLError(SSLError(1, '[SSL] record layer failure (_ssl.c:2648)')))",0,2026-07-06T15:22:49.073620+00:00
000063,SSLError,"HTTPSConnectionPool(host='push2his.eastmoney.com', port=443): Max retries exceeded with url: /api/qt/stock/fflow/daykline/get?secid=0.000063&fields1=f1%2Cf2%2Cf3%2Cf7&fields2=f51%2Cf52%2Cf53%2Cf54%2Cf55%2Cf56&lmt=120 (Caused by SSLError(SSLError(1, '[SSL] record layer failure (_ssl.c:2648)')))",0,2026-07-06T15:22:49.073620+00:00
000100,ReadTimeout,"HTTPSConnectionPool(host='push2his.eastmoney.com', port=443): Read timed out. (read timeout=4)",0,2026-07-06T15:22:49.073620+00:00
000157,SSLError,"HTTPSConnectionPool(host='push2his.eastmoney.com', port=443): Max retries exceeded with url: /api/qt/stock/fflow/daykline/get?secid=0.000157&fields1=f1%2Cf2%2Cf3%2Cf7&fields2=f51%2Cf52%2Cf53%2Cf54%2Cf55%2Cf56&lmt=120 (Caused by SSLError(SSLError(1, '[SSL] record layer failure (_ssl.c:2648)')))",0,2026-07-06T15:22:49.073620+00:00
000166,SSLError,"HTTPSConnectionPool(host='push2his.eastmoney.com', port=443): Max retries exceeded with url: /api/qt/stock/fflow/daykline/get?secid=0.000166&fields1=f1%2Cf2%2Cf3%2Cf7&fields2=f51%2Cf52%2Cf53%2Cf54%2Cf55%2Cf56&lmt=120 (Caused by SSLError(SSLError(1, '[SSL] record layer failure (_ssl.c:2648)')))",0,2026-07-06T15:22:49.073620+00:00
000301,SSLError,"HTTPSConnectionPool(host='push2his.eastmoney.com', port=443): Max retries exceeded with url: /api/qt/stock/fflow/daykline/get?secid=0.000301&fields1=f1%2Cf2%2Cf3%2Cf7&fields2=f51%2Cf52%2Cf53%2Cf54%2Cf55%2Cf56&lmt=120 (Caused by SSLError(SSLError(1, '[SSL] record layer failure (_ssl.c:2648)')))",0,2026-07-06T15:22:49.073620+00:00
000333,SSLError,"HTTPSConnectionPool(host='push2his.eastmoney.com', port=443): Max retries exceeded with url: /api/qt/stock/fflow/daykline/get?secid=0.000333&fields1=f1%2Cf2%2Cf3%2Cf7&fields2=f51%2Cf52%2Cf53%2Cf54%2Cf55%2Cf56&lmt=120 (Caused by SSLError(SSLError(1, '[SSL] record layer failure (_ssl.c:2648)')))",0,2026-07-06T15:22:49.073620+00:00
000338,SSLError,"HTTPSConnectionPool(host='push2his.eastmoney.com', port=443): Max retries exceeded with url: /api/qt/stock/fflow/daykline/get?secid=0.000338&fields1=f1%2Cf2%2Cf3%2Cf7&fields2=f51%2Cf52%2Cf53%2Cf54%2Cf55%2Cf56&lmt=120 (Caused by SSLError(SSLError(1, '[SSL] record layer failure (_ssl.c:2648)')))",0,2026-07-06T15:22:49.073620+00:00
000408,ReadTimeout,"HTTPSConnectionPool(host='push2his.eastmoney.com', port=443): Read timed out. (read timeout=4)",0,2026-07-06T15:22:49.073620+00:00
000425,SSLError,"HTTPSConnectionPool(host='push2his.eastmoney.com', port=443): Max retries exceeded with url: /api/qt/stock/fflow/daykline/get?secid=0.000425&fields1=f1%2Cf2%2Cf3%2Cf7&fields2=f51%2Cf52%2Cf53%2Cf54%2Cf55%2Cf56&lmt=120 (Caused by SSLError(SSLError(1, '[SSL] record layer failure (_ssl.c:2648)')))",0,2026-07-06T15:22:49.073620+00:00
000538,SSLError,"HTTPSConnectionPool(host='push2his.eastmoney.com', port=443): Max retries exceeded with url: /api/qt/stock/fflow/daykline/get?secid=0.000538&fields1=f1%2Cf2%2Cf3%2Cf7&fields2=f51%2Cf52%2Cf53%2Cf54%2Cf55%2Cf56&lmt=120 (Caused by SSLError(SSLError(1, '[SSL] record layer failure (_ssl.c:2648)')))",0,2026-07-06T15:22:49.073620+00:00
000568,SSLError,"HTTPSConnectionPool(host='push2his.eastmoney.com', port=443): Max retries exceeded with url: /api/qt/stock/fflow/daykline/get?secid=0.000568&fields1=f1%2Cf2%2Cf3%2Cf7&fields2=f51%2Cf52%2Cf53%2Cf54%2Cf55%2Cf56&lmt=120 (Caused by SSLError(SSLError(1, '[SSL] record layer failure (_ssl.c:2648)')))",0,2026-07-06T15:22:49.073620+00:00
000596,ReadTimeout,"HTTPSConnectionPool(host='push2his.eastmoney.com', port=443): Read timed out. (read timeout=4)",0,2026-07-06T15:22:49.073620+00:00
000617,ReadTimeout,"HTTPSConnectionPool(host='push2his.eastmoney.com', port=443): Read timed out. (read timeout=4)",0,2026-07-06T15:22:49.073620+00:00
