feature_name,feature_family,source,latest_available_date,overall_missing_rate,recent_symbol_coverage,recent_20d_avg_symbol_coverage,available_trading_days,date_coverage_rate,is_pit_safe,known_at,history_start,is_allowed_for_base_model,is_allowed_for_recent_model,is_allowed_for_prediction_only,rejection_reason
volume,raw_aux,feature_panel,2026-04-02,0.0,300,299.85,785,1.0,True,post_close_T,,True,True,False,allowed
ma_5,technical,feature_panel,2026-04-02,0.006433157350740027,300,299.85,780,0.9936305732484076,True,post_close_T,,True,True,False,allowed
ma_10,technical,feature_panel,2026-04-02,0.012866314701480055,300,299.85,775,0.9872611464968153,True,post_close_T,,True,True,False,allowed
ma_20,technical,feature_panel,2026-04-02,0.02573262940296011,300,299.85,765,0.9745222929936306,True,post_close_T,,True,True,False,allowed
ma_60,technical,feature_panel,2026-04-02,0.07719788820888034,300,299.8,725,0.9235668789808917,True,post_close_T,,True,True,False,allowed
macd_dif,technical,feature_panel,2026-04-02,0.04503210145518019,300,299.85,750,0.9554140127388535,True,post_close_T,,True,True,False,allowed
macd_dea,technical,feature_panel,2026-04-02,0.04503210145518019,300,299.85,750,0.9554140127388535,True,post_close_T,,True,True,False,allowed
macd_hist,technical,feature_panel,2026-04-02,0.04503210145518019,300,299.85,750,0.9554140127388535,True,post_close_T,,True,True,False,allowed
kdj_k,technical,feature_panel,2026-04-02,0.01157968323133205,300,299.85,776,0.9885350318471338,True,post_close_T,,True,True,False,allowed
kdj_d,technical,feature_panel,2026-04-02,0.01157968323133205,300,299.85,776,0.9885350318471338,True,post_close_T,,True,True,False,allowed
kdj_j,technical,feature_panel,2026-04-02,0.01157968323133205,300,299.85,776,0.9885350318471338,True,post_close_T,,True,True,False,allowed
rsi_6,technical,feature_panel,2026-04-02,0.007719788820888033,300,299.85,779,0.9923566878980892,True,post_close_T,,True,True,False,allowed
rsi_12,technical,feature_panel,2026-04-02,0.015439577641776066,300,299.85,773,0.9847133757961783,True,post_close_T,,True,True,False,allowed
rsi_24,technical,feature_panel,2026-04-02,0.03087915528355213,300,299.85,761,0.9694267515923567,True,post_close_T,,True,True,False,allowed
boll_upper,technical,feature_panel,2026-04-02,0.02573262940296011,300,299.85,765,0.9745222929936306,True,post_close_T,,True,True,False,allowed
boll_mid,technical,feature_panel,2026-04-02,0.02573262940296011,300,299.85,765,0.9745222929936306,True,post_close_T,,True,True,False,allowed
atr_14,technical,feature_panel,2026-04-02,0.018012840582072077,300,299.85,771,0.9821656050955414,True,post_close_T,,True,True,False,allowed
adx_14,technical,feature_panel,2026-04-02,0.036025681164144154,300,299.85,757,0.9643312101910828,True,post_close_T,,True,True,False,allowed
obv,technical,feature_panel,2026-04-02,0.03216578675370014,300,299.85,760,0.9681528662420382,True,post_close_T,,True,True,False,allowed
cci_14,technical,feature_panel,2026-04-02,0.018012840582072077,300,299.85,771,0.9821656050955414,True,post_close_T,,True,True,False,allowed
roc_10,technical,feature_panel,2026-04-02,0.012866314701480055,300,299.85,775,0.9872611464968153,True,post_close_T,,True,True,False,allowed
willr_14,technical,feature_panel,2026-04-02,0.018012840582072077,300,299.85,771,0.9821656050955414,True,post_close_T,,True,True,False,allowed
stoch_k,technical,feature_panel,2026-04-02,0.019299472052220084,300,299.85,770,0.9808917197452229,True,post_close_T,,True,True,False,allowed
stoch_d,technical,feature_panel,2026-04-02,0.021872734992516095,300,299.85,768,0.978343949044586,True,post_close_T,,True,True,False,allowed
reversal_3d,technical,feature_panel,2026-04-02,0.0038598944104440164,300,299.85,782,0.9961783439490446,True,post_close_T,,True,True,False,allowed
fund_revenue,fundamental,silver/fundamentals,2026-04-02,0.9856454815647154,25,24.5,522,0.664968152866242,True,announce_date,,False,False,True,base-missing>30%; base-recent-coverage-low; recent-20d-coverage-low
fund_net_profit,fundamental,silver/fundamentals,2026-04-02,0.9856454815647154,25,24.5,522,0.664968152866242,True,announce_date,,False,False,True,base-missing>30%; base-recent-coverage-low; recent-20d-coverage-low
fund_eps,fundamental,silver/fundamentals,2026-04-02,0.9857784334832974,24,23.5,522,0.664968152866242,True,announce_date,,False,False,True,base-missing>30%; base-recent-coverage-low; recent-20d-coverage-low
fund_roe,fundamental,silver/fundamentals,2026-04-02,0.9857784334832974,24,23.5,522,0.664968152866242,True,announce_date,,False,False,True,base-missing>30%; base-recent-coverage-low; recent-20d-coverage-low
fund_lag_days,fundamental,silver/fundamentals,2026-04-02,0.9856454815647154,25,24.5,522,0.664968152866242,True,announce_date,,False,False,True,base-missing>30%; base-recent-coverage-low; recent-20d-coverage-low
cs_rank_close,cross_sectional,feature_panel,2026-04-02,0.0,300,299.85,785,1.0,True,post_close_T,,True,True,False,allowed
