arm,metric,mean,std,n,icir
base_only,precision_at_20_excess,0.5700000000000001,0.13898125583575727,20,
fixed_weight_0.3,precision_at_20_excess,0.6075,0.15241477342401796,20,
fixed_weight_0.5,precision_at_20_excess,0.6024999999999999,0.15515272611543965,20,
fixed_weight_0.7,precision_at_20_excess,0.615,0.15398222727246633,20,
gate_first,precision_at_20_excess,0.5874999999999999,0.14498185004373915,20,
gate_first_noveto,precision_at_20_excess,0.5874999999999999,0.14498185004373915,20,
recent_heavy,precision_at_20_excess,0.6075,0.15241477342401796,20,
recent_only,precision_at_20_excess,0.6325,0.15327563750521989,20,
rrf,precision_at_20_excess,0.6025000000000001,0.14093204782895608,20,
base_only,precision_at_50_excess,0.5269999999999999,0.11521604420437834,20,
fixed_weight_0.3,precision_at_50_excess,0.554,0.10898575474272823,20,
fixed_weight_0.5,precision_at_50_excess,0.5480000000000002,0.1024746438470461,20,
fixed_weight_0.7,precision_at_50_excess,0.537,0.11262887355334215,20,
gate_first,precision_at_50_excess,0.5429999999999999,0.10285912696499033,20,
gate_first_noveto,precision_at_50_excess,0.5429999999999999,0.10285912696499033,20,
recent_heavy,precision_at_50_excess,0.554,0.10898575474272823,20,
recent_only,precision_at_50_excess,0.5579999999999999,0.11587652230306462,20,
rrf,precision_at_50_excess,0.545,0.10816653826391967,20,
base_only,rank_ic_ret_fwd_3d,0.07880255266477085,0.13867994704563152,20,2.5412162077182656
fixed_weight_0.3,rank_ic_ret_fwd_3d,0.0981755510805992,0.16688036156737013,20,2.630953143711867
fixed_weight_0.5,rank_ic_ret_fwd_3d,0.09606228542228981,0.16050638791977678,20,2.6765514203159055
fixed_weight_0.7,rank_ic_ret_fwd_3d,0.09127297254007173,0.1497422273483951,20,2.725918730101746
gate_first,rank_ic_ret_fwd_3d,0.09851656406777258,0.17002577170058078,20,2.5912511022527562
gate_first_noveto,rank_ic_ret_fwd_3d,0.09851656406777258,0.17002577170058078,20,2.5912511022527562
recent_heavy,rank_ic_ret_fwd_3d,0.0981755510805992,0.16688036156737013,20,2.630953143711867
recent_only,rank_ic_ret_fwd_3d,0.09554896830003609,0.16762825918441304,20,2.549140453266962
rrf,rank_ic_ret_fwd_3d,0.10659637941199837,0.17810448117997313,20,2.6765946476072084
base_only,top20_ret_fwd_3d_cs_gross,0.022297630665408717,0.03295962226867344,20,
fixed_weight_0.3,top20_ret_fwd_3d_cs_gross,0.02728682226604286,0.036000258404238886,20,
fixed_weight_0.5,top20_ret_fwd_3d_cs_gross,0.02616688199104983,0.03599912159653737,20,
fixed_weight_0.7,top20_ret_fwd_3d_cs_gross,0.027275207264668266,0.03620739927250925,20,
gate_first,top20_ret_fwd_3d_cs_gross,0.023455618081255753,0.03629664197325306,20,
gate_first_noveto,top20_ret_fwd_3d_cs_gross,0.023455618081255753,0.03629664197325306,20,
recent_heavy,top20_ret_fwd_3d_cs_gross,0.02728682226604286,0.036000258404238886,20,
recent_only,top20_ret_fwd_3d_cs_gross,0.029405343556802653,0.032544725641895,20,
