arm,symbol,date,trade_date,base_score,base_rank,base_pct,recent_score,recent_rank,recent_pct,risk_flags,event_flags,short_boost,gate_tier,gate_reason,final_rank,fusion_score_col,fusion_rank,arm_rank,arm_score,ret_fwd_3d,ret_fwd_3d_cs,ret_fwd_5d,ret_fwd_5d_cs
baseline,600183,2026-06-02,2026-06-02,0.029142687298643152,2,0.9966666666666667,0.011847909378748859,8,0.9766666666666667,,,-0.020000000000000018,A_MAIN,"base strong, recent confirms",1,0.030834914611005692,1,1,0.030834914611005692,-0.0445442235050959,-0.002935176484064446,0.046967429263773175,0.08130402554953244
baseline,688082,2026-06-02,2026-06-02,0.015360569297312655,11,0.9666666666666667,0.03177536032807713,1,1.0,,,0.033333333333333326,A_MAIN,"base strong, recent confirms",9,0.03047794966520434,2,2,0.03047794966520434,-0.02901873962204482,0.012590307398986637,0.04763975646398366,0.08197635274974292
baseline,002371,2026-06-02,2026-06-02,0.01576514889092311,10,0.97,0.020400914368392083,3,0.9933333333333333,,,0.023333333333333317,A_MAIN,"base strong, recent confirms",8,0.030158730158730156,3,3,0.030158730158730156,-0.04732938650705876,-0.0057203394860273,0.007091275779064432,0.04142787206482369
baseline,002938,2026-06-02,2026-06-02,0.01508846520990757,13,0.96,0.011739939154924448,10,0.97,,,0.010000000000000009,A_MAIN,"base strong, recent confirms",11,0.027984344422700584,4,4,0.027984344422700584,0.034209545115585493,0.07581859213661696,0.02554064131245326,0.05987723759821252
baseline,300408,2026-06-02,2026-06-02,0.009656580238584438,25,0.92,0.027791869020145594,2,0.9966666666666667,,,0.07666666666666666,A_MAIN,"base strong, recent confirms",23,0.027893738140417457,5,5,0.027893738140417457,-0.08873897249610785,-0.04712992547507639,-0.021424864704574054,0.012911731581185207
baseline,600118,2026-06-02,2026-06-02,0.011405945222174849,22,0.93,0.019717841632100604,4,0.99,,,0.05999999999999994,A_MAIN,"base strong, recent confirms",20,0.027820121951219513,6,6,0.027820121951219513,0.007599901936749198,0.049208948957780656,-0.048541309144398026,-0.014204712858638766
baseline,002916,2026-06-02,2026-06-02,0.02764302426576905,3,0.9933333333333333,0.005259781239151467,31,0.9,,,-0.09333333333333327,A_MAIN,"base strong, recent confirms",2,0.026862026862026864,7,7,0.026862026862026864,-0.032356020942408414,0.009253026078623043,0.0027748691099476197,0.03711146539570688
baseline,300308,2026-06-02,2026-06-02,0.01762226136600968,8,0.9766666666666667,0.005514230594176568,26,0.9166666666666666,,,-0.06000000000000005,A_MAIN,"base strong, recent confirms",6,0.026333789329685362,8,8,0.026333789329685362,-0.09412549019607841,-0.05251644317504695,-0.10039215686274505,-0.06605556057698579
baseline,300274,2026-06-02,2026-06-02,0.010394486606887533,23,0.9266666666666666,0.010279994923881475,11,0.9666666666666667,,,0.040000000000000036,A_MAIN,"base strong, recent confirms",21,0.026132699813337858,9,9,0.026132699813337858,-0.14051522248243564,-0.09890617546140418,-0.15954332552693207,-0.12520672924117282
baseline,000657,2026-06-02,2026-06-02,0.008899664763606856,30,0.9033333333333333,0.012229024080059657,7,0.98,,,0.07666666666666666,A_MAIN,"base strong, recent confirms",27,0.02603648424543947,10,10,0.02603648424543947,-0.05285176404964431,-0.011242717028612854,0.01659461720819988,0.05093121349395914
