arm,metric,mean,std,n,icir
baseline,precision_at_20_excess,0.5274999999999999,0.08025452930323751,20,
turnover_aware,precision_at_20_excess,0.5225000000000001,0.08346918750747423,20,
baseline,precision_at_50_excess,0.4466666666666667,0.036774732526300605,15,
turnover_aware,precision_at_50_excess,0.4466666666666667,0.036774732526300605,15,
baseline,rank_ic_ret_fwd_3d,0.13730126059114586,0.16255148557491633,20,3.777448738685551
turnover_aware,rank_ic_ret_fwd_3d,0.13730126059114586,0.16255148557491633,20,3.777448738685551
baseline,top20_ret_fwd_3d_cs_gross,0.026688813468789336,0.03406317019019791,20,
turnover_aware,top20_ret_fwd_3d_cs_gross,0.025827948968384633,0.03684542588721719,20,
baseline,top20_ret_fwd_3d_cs_net,0.025688813468789328,0.03406317019019791,20,
turnover_aware,top20_ret_fwd_3d_cs_net,0.024827948968384632,0.03684542588721718,20,
baseline,top20_ret_fwd_3d_gross,0.02840029524351227,0.045123890216881776,20,
turnover_aware,top20_ret_fwd_3d_gross,0.027539430743107572,0.04804939378529786,20,
baseline,top20_ret_fwd_3d_net,0.027400295243512268,0.045123890216881776,20,
turnover_aware,top20_ret_fwd_3d_net,0.026539430743107568,0.04804939378529786,20,
baseline,top20_ret_fwd_5d_cs_gross,0.039439846211068726,0.04762173061950124,19,
turnover_aware,top20_ret_fwd_5d_cs_gross,0.038950109239079246,0.05632540196118582,19,
baseline,top20_ret_fwd_5d_cs_net,0.038439846211068725,0.04762173061950124,19,
turnover_aware,top20_ret_fwd_5d_cs_net,0.037950109239079245,0.05632540196118582,19,
baseline,top20_ret_fwd_5d_gross,0.04118032829084819,0.05927852703090262,19,
turnover_aware,top20_ret_fwd_5d_gross,0.04069059131885871,0.06720799495815562,19,
baseline,top20_ret_fwd_5d_net,0.04018032829084819,0.05927852703090262,19,
turnover_aware,top20_ret_fwd_5d_net,0.03969059131885871,0.06720799495815562,19,
baseline,top50_ret_fwd_3d_cs_gross,0.018860415810794774,0.026714565387575596,15,
turnover_aware,top50_ret_fwd_3d_cs_gross,0.01882132755025658,0.026663998480141993,15,
baseline,top50_ret_fwd_3d_cs_net,0.017860415810794773,0.026714565387575596,15,
turnover_aware,top50_ret_fwd_3d_cs_net,0.017821327550256574,0.026663998480141993,15,
baseline,top50_ret_fwd_3d_gross,0.020247909878347466,0.038381628999885176,15,
turnover_aware,top50_ret_fwd_3d_gross,0.02020882161780927,0.0383181948732645,15,
baseline,top50_ret_fwd_3d_net,0.019247909878347465,0.038381628999885176,15,
turnover_aware,top50_ret_fwd_3d_net,0.01920882161780927,0.0383181948732645,15,
baseline,top50_ret_fwd_5d_cs_gross,0.026469589313758056,0.04075856365509195,13,
turnover_aware,top50_ret_fwd_5d_cs_gross,0.02639819779069134,0.040654212164013236,13,
baseline,top50_ret_fwd_5d_cs_net,0.025469589313758055,0.04075856365509195,13,
turnover_aware,top50_ret_fwd_5d_cs_net,0.02539819779069134,0.040654212164013236,13,
baseline,top50_ret_fwd_5d_gross,0.027515941946106386,0.04952378089576378,13,
turnover_aware,top50_ret_fwd_5d_gross,0.027444550423039674,0.04940360172999884,13,
baseline,top50_ret_fwd_5d_net,0.026515941946106385,0.04952378089576378,13,
turnover_aware,top50_ret_fwd_5d_net,0.026444550423039673,0.04940360172999884,13,
baseline,turnover_top20,0.6526315789473685,,1,
turnover_aware,turnover_top20,0.46315789473684216,,1,
baseline,turnover_top50,0.5263157894736842,,1,
turnover_aware,turnover_top50,0.5242105263157896,,1,
