arm,metric,mean,std,n,icir
baseline,precision_at_20_excess,0.5200000000000001,0.09775252199076785,10,
turnover_aware,precision_at_20_excess,0.51,0.0994428926011753,10,
baseline,precision_at_50_excess,0.4555555555555555,0.038441875315569314,9,
turnover_aware,precision_at_50_excess,0.4555555555555555,0.038441875315569314,9,
baseline,rank_ic_ret_fwd_3d,0.08969624733678147,0.17618973111356218,10,1.609880651734578
turnover_aware,rank_ic_ret_fwd_3d,0.08969624733678147,0.17618973111356218,10,1.609880651734578
baseline,top20_ret_fwd_3d_cs_gross,0.02783764114559434,0.036517239125041505,10,
turnover_aware,top20_ret_fwd_3d_cs_gross,0.024007242635829304,0.03842224784809976,10,
baseline,top20_ret_fwd_3d_cs_net,0.02683764114559433,0.036517239125041505,10,
turnover_aware,top20_ret_fwd_3d_cs_net,0.023007242635829303,0.03842224784809976,10,
baseline,top20_ret_fwd_3d_gross,0.03391624774231653,0.04155856130858502,10,
turnover_aware,top20_ret_fwd_3d_gross,0.030085849232551486,0.044641356223294314,10,
baseline,top20_ret_fwd_3d_net,0.03291624774231653,0.04155856130858502,10,
turnover_aware,top20_ret_fwd_3d_net,0.029085849232551485,0.044641356223294314,10,
baseline,top20_ret_fwd_5d_cs_gross,0.03486861623242235,0.04395305686531651,9,
turnover_aware,top20_ret_fwd_5d_cs_gross,0.03186237659062847,0.05515690429953526,9,
baseline,top20_ret_fwd_5d_cs_net,0.03386861623242235,0.04395305686531651,9,
turnover_aware,top20_ret_fwd_5d_cs_net,0.030862376590628467,0.05515690429953526,9,
baseline,top20_ret_fwd_5d_gross,0.03664022939383135,0.052276756186235944,9,
turnover_aware,top20_ret_fwd_5d_gross,0.03363398975203746,0.0631576264160022,9,
baseline,top20_ret_fwd_5d_net,0.03564022939383135,0.052276756186235944,9,
turnover_aware,top20_ret_fwd_5d_net,0.03263398975203746,0.0631576264160022,9,
baseline,top50_ret_fwd_3d_cs_gross,0.01850853078340154,0.025734524635906093,9,
turnover_aware,top50_ret_fwd_3d_cs_gross,0.018443383682504547,0.025641542234199538,9,
baseline,top50_ret_fwd_3d_cs_net,0.01750853078340154,0.025734524635906093,9,
turnover_aware,top50_ret_fwd_3d_cs_net,0.017443383682504546,0.025641542234199538,9,
baseline,top50_ret_fwd_3d_gross,0.022699312647670625,0.03374426989291502,9,
turnover_aware,top50_ret_fwd_3d_gross,0.022634165546773635,0.03362318758921998,9,
baseline,top50_ret_fwd_3d_net,0.021699312647670624,0.03374426989291502,9,
turnover_aware,top50_ret_fwd_3d_net,0.021634165546773634,0.03362318758921998,9,
baseline,top50_ret_fwd_5d_cs_gross,0.020478619390659036,0.03732327245854749,7,
turnover_aware,top50_ret_fwd_5d_cs_gross,0.020346035133535147,0.03706983580349544,7,
baseline,top50_ret_fwd_5d_cs_net,0.019478619390659035,0.03732327245854749,7,
turnover_aware,top50_ret_fwd_5d_cs_net,0.019346035133535146,0.03706983580349543,7,
baseline,top50_ret_fwd_5d_gross,0.023510033078441357,0.04543125728928967,7,
turnover_aware,top50_ret_fwd_5d_gross,0.023377448821317474,0.045154981694270964,7,
baseline,top50_ret_fwd_5d_net,0.022510033078441356,0.04543125728928967,7,
turnover_aware,top50_ret_fwd_5d_net,0.022377448821317474,0.045154981694270964,7,
