arm,symbol,date,trade_date,base_score,base_rank,base_pct,recent_score,recent_rank,recent_pct,risk_flags,event_flags,short_boost,gate_tier,gate_reason,final_rank,fusion_score_col,fusion_rank,arm_rank,arm_score,ret_fwd_3d,ret_fwd_3d_cs,ret_fwd_5d,ret_fwd_5d_cs
turnover_aware,688126,2026-06-29,2026-06-29,0.023985095270960988,7,0.9798657718120806,0.022143692907859922,4,0.9899328859060402,,,0.010067114093959662,A_MAIN,"base strong, recent confirms",6,0.03055037313432836,1,1,0.03055037313432836,-0.13436951616946602,-0.14103211311216843,,
turnover_aware,600584,2026-06-29,2026-06-29,0.018262305340144343,12,0.9630872483221476,0.02177920869038814,5,0.9865771812080537,,,0.023489932885906062,A_MAIN,"base strong, recent confirms",11,0.029273504273504274,2,2,0.029273504273504274,-0.12235634958957031,-0.12901894653227272,,
turnover_aware,600183,2026-06-29,2026-06-29,0.022318110826297897,9,0.9731543624161074,0.018637358156374295,8,0.9765100671140939,,,0.003355704697986517,A_MAIN,"base strong, recent confirms",8,0.02919863597612958,3,3,0.02919863597612958,-0.0727797001153403,-0.0794422970580427,,
turnover_aware,301165,2026-06-29,2026-06-29,0.012687199473548858,25,0.9194630872483222,0.022668015468325853,1,1.0,,,0.08053691275167785,A_MAIN,"base strong, recent confirms",21,0.02815814850530376,4,4,0.02815814850530376,0.1794903666873835,0.1728277697446811,,
turnover_aware,002920,2026-06-29,2026-06-29,0.017992398233082626,14,0.9563758389261745,0.016954760165979948,11,0.9664429530201343,,,0.010067114093959773,A_MAIN,"base strong, recent confirms",12,0.027598020555767037,5,5,0.027598020555767037,0.06110429447852761,0.054441697535825194,,
turnover_aware,688303,2026-06-29,2026-06-29,0.02563512447008825,6,0.9832214765100671,0.012566464201715472,21,0.9328859060402684,,,-0.05033557046979864,A_MAIN,"base strong, recent confirms",5,0.02749719416386083,6,6,0.02749719416386083,-0.015490533562822706,-0.02215313050552512,,
turnover_aware,600549,2026-06-29,2026-06-29,0.04669868944181664,1,1.0,0.008684902937338675,34,0.889261744966443,,,-0.11073825503355705,A_MAIN,"base strong, recent confirms",1,0.027031740495291244,7,7,0.027031740495291244,-0.11913145539906111,-0.12579405234176352,,
turnover_aware,301308,2026-06-29,2026-06-29,0.009632838562335096,40,0.8691275167785235,0.022439038124186777,2,0.9966442953020134,,,0.12751677852348986,A_MAIN,"base strong, recent confirms",32,0.026129032258064518,8,8,0.026129032258064518,-0.12188121625461779,-0.1285438131973202,,
turnover_aware,002463,2026-06-29,2026-06-29,0.01626337776041778,17,0.9463087248322147,0.010719593300562944,26,0.9161073825503355,,,-0.030201342281879207,A_MAIN,"base strong, recent confirms",15,0.024614919963757174,9,9,0.024614919963757174,-0.11420157068062842,-0.12086416762333083,,
turnover_aware,601127,2026-06-29,2026-06-29,0.00968941033394509,38,0.8758389261744967,0.017066921396498284,10,0.9697986577181208,,,0.09395973154362414,A_MAIN,"base strong, recent confirms",30,0.024489795918367346,10,10,0.024489795918367346,0.009632653061224516,0.002970056118522103,,
turnover_aware,300661,2026-06-29,2026-06-29,0.012409740893268899,28,0.9093959731543624,0.01353194871451536,17,0.9463087248322147,,,0.03691275167785235,A_MAIN,"base strong, recent confirms",24,0.024350649350649352,11,11,0.024350649350649352,-0.027042096459436782,-0.0337046934021392,,
turnover_aware,601600,2026-06-29,2026-06-29,0.018331247629627373,11,0.9664429530201343,0.00594480996516273,39,0.87248322147651,,,-0.09395973154362425,A_MAIN,"base strong, recent confirms",10,0.024185517143263623,12,12,0.024185517143263623,0.01338199513381988,0.006719398191117466,,
turnover_aware,600118,2026-06-29,2026-06-29,0.015644478000267897,19,0.9395973154362416,0.009609619544509366,29,0.9060402684563759,,,-0.03355704697986572,A_MAIN,"base strong, recent confirms",17,0.02389418290428104,13,13,0.02389418290428104,0.05179768433881771,0.04513508739611529,,
turnover_aware,600188,2026-06-29,2026-06-29,0.01664546228185453,16,0.9496644295302014,0.005784272867256569,40,0.8691275167785235,,,-0.08053691275167785,A_MAIN,"base strong, recent confirms",14,0.023157894736842106,14,14,0.023157894736842106,0.0016882386043894915,-0.004974358338312922,,
turnover_aware,002179,2026-06-29,2026-06-29,0.007620690113793717,56,0.8154362416107382,0.017282061894544416,9,0.9731543624161074,,,0.15771812080536918,A_MAIN,"base strong, recent confirms",40,0.023113443278360818,15,15,0.023113443278360818,-0.08333333333333337,-0.08999593027603578,,
